Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,1,156,"H3","200969",8,550,550,858,0
2010,699,1,156,"H3","200979",8,3011151,3011151,2599869,0
2010,699,1,156,"H3","200980",8,410999,410999,523875,0
2010,699,2,156,"H3","200980",8,364214,364214,710216,6
2010,699,1,156,"H3","21",1,,,6308309,0
2010,699,2,156,"H3","21",1,,,1780239,0
2010,699,1,156,"H3","2101",8,6926,6926,86578,0
2010,699,2,156,"H3","2101",8,62989,62989,641738,6
2010,699,1,156,"H3","210111",8,4,4,344,0
2010,699,2,156,"H3","210111",8,56901,56901,599540,6
2010,699,1,156,"H3","210120",8,6833,6833,85111,0
2010,699,2,156,"H3","210120",8,6087,6087,42199,6
2010,699,1,156,"H3","210130",8,89,89,1123,0
2010,699,1,156,"H3","210210",8,849141,849141,2087557,0
2010,699,1,156,"H3","210220",8,3803,3803,19488,0
2010,699,1,156,"H3","2103",8,2452072,2452072,2253165,0
2010,699,2,156,"H3","2103",8,519203,519203,1125690,6
2010,699,1,156,"H3","210330",8,1100,1100,3508,0
2010,699,2,156,"H3","210330",8,519084,519084,1125479,6
2010,699,1,156,"H3","210410",8,9650,9650,6724,0
2010,699,1,156,"H3","2106",8,342798,342798,1854724,0
2010,699,2,156,"H3","2106",8,2479,2479,12811,6
2010,699,1,156,"H3","210610",8,78948,78948,303944,0
2010,699,1,156,"H3","210690",8,263850,263850,1550780,0
2010,699,2,156,"H3","210690",8,2479,2479,12811,6
2010,699,1,156,"H3","22",1,,,4546754,0
2010,699,2,156,"H3","22",1,,,55529,0
2010,699,1,156,"H3","2201",1,,55150,41200,4
2010,699,2,156,"H3","2201",1,,39,15,4
2010,699,1,156,"H3","220110",7,4150,4150,5027,4
2010,699,1,156,"H3","2202",7,185225,185225,186360,4
2010,699,2,156,"H3","2202",7,385,427,365,6
2010,699,1,156,"H3","220210",7,14964,14964,14876,4
2010,699,2,156,"H3","220210",7,193,210,169,6
2010,699,1,156,"H3","2203",7,142381,142381,193889,4
2010,699,2,156,"H3","2203",7,38326,41892,38589,6
2010,699,1,156,"H3","220410",7,2370,2370,10363,4
2010,699,1,156,"H3","220429",7,112494,112494,519765,4
2010,699,1,156,"H3","220510",7,36,36,727,4
2010,699,1,156,"H3","220590",7,3020,3020,35402,4
2010,699,1,156,"H3","2207",7,53766,132777,126284,4
2010,699,1,156,"H3","220710",7,14166,61347,57656,4
2010,699,1,156,"H3","220720",7,39600,71430,68628,4
2010,699,1,156,"H3","220820",7,6945,6424,33020,4
2010,699,1,156,"H3","220830",7,378775,350367,2265019,4
2010,699,2,156,"H3","220830",7,898,1682,16550,6
2010,699,1,156,"H3","220850",7,72820,67359,444979,4
2010,699,1,156,"H3","220890",7,200246,185228,602493,4
2010,699,1,156,"H3","23",1,,,22381629,0
2010,699,2,156,"H3","23",1,,,178479975,0
2010,699,1,156,"H3","230120",8,140000,140000,83507,0
2010,699,2,156,"H3","230120",8,115173,115173,111592,6
2010,699,1,156,"H3","2302",1,,289000,61743,0
2010,699,1,156,"H3","230240",8,289000,289000,61743,0
2010,699,2,156,"H3","2303",8,30690,30690,17954,6
2010,699,2,156,"H3","230310",8,30690,30690,17954,6
2010,699,1,156,"H3","230400",8,500,500,673,0
2010,699,2,156,"H3","230400",8,230893685,230893685,90776745,6
2010,699,2,156,"H3","2305",8,49521234,49521234,11724624,6
2010,699,1,156,"H3","2306",1,,120000,26285,0
2010,699,2,156,"H3","2306",1,,335108908,75578878,4
2010,699,2,156,"H3","230649",8,307438458,307438458,69874292,6
2010,699,1,156,"H3","230650",8,120000,120000,26285,0
2010,699,2,156,"H3","230690",8,4632007,4632007,934733,6
2010,699,2,156,"H3","2308",8,64054,64054,30394,6
2010,699,2,156,"H3","230800",8,64054,64054,30394,6
2010,699,1,156,"H3","2309",8,8801420,8801420,22209422,0
